symbol,name,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,open,previous_close,days_range,52_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange,employees,website
TJX,"The TJX Companies, Inc.",126.20,142.34B,56.42B,4.87B,1.13B,4.24,29.74,28.21,$1.50 (1.19%),"Nov 14, 2024","4,494,958",125.04,124.79,124.43 - 126.44,87.44 - 126.44,0.89,Buy,128.06 (+1.47%),"Nov 20, 2024",Apparel Retail,Consumer Discretionary,1962,NYSE,"349,000",https://www.tjx.com
COP,ConocoPhillips,106.78,138.13B,56.92B,9.92B,1.29B,8.44,12.65,13.94,$3.12 (2.92%),"Nov 8, 2024","9,034,351",106.62,106.10,104.90 - 107.35,101.30 - 135.18,1.22,Buy,137.38 (+28.66%),"Oct 31, 2024",Oil & Gas Exploration & Production,Energy,1917,NYSE,"9,900",https://www.conocophillips.com
C,Citigroup Inc.,69.75,133.07B,69.31B,6.70B,1.91B,3.48,20.02,10.33,$2.24 (3.21%),"Nov 4, 2024","10,833,521",70.36,70.75,69.33 - 70.48,44.56 - 71.19,1.43,Buy,73.80 (+5.81%),"Jan 15, 2025",Banks - Diversified,Financials,1812,NYSE,"239,000",https://www.citigroup.com
BSX,Boston Scientific Corporation,90.21,132.95B,15.91B,1.79B,1.47B,1.21,74.62,33.50,n/a,n/a,"3,935,076",89.78,89.25,89.10 - 90.39,53.93 - 91.93,0.80,Strong Buy,93.73 (+3.9%),"Oct 23, 2024",Medical Devices,Healthcare,"May 18, 1992",NYSE,"48,000",https://www.bostonscientific.com
PANW,"Palo Alto Networks, Inc.",396.40,130.06B,8.29B,2.73B,328.10M,7.69,51.53,61.14,n/a,n/a,"2,719,996",389.44,386.38,388.63 - 397.22,260.09 - 408.53,1.12,Buy,402.05 (+1.43%),"Nov 20, 2024",Software - Infrastructure,Technology,"Jul 20, 2012",NASDAQ,"13,948",https://www.paloaltonetworks.com
ANET,"Arista Networks, Inc.",408.33,128.60B,6.61B,2.66B,314.94M,8.33,49.03,43.54,n/a,n/a,"1,574,390",403.48,399.72,402.48 - 413.90,210.69 - 431.97,1.08,Buy,385.67 (-5.55%),"Nov 7, 2024",Computer Hardware,Technology,"Jun 6, 2014",NYSE,"4,023",https://www.arista.com
FI,"Fiserv, Inc.",222.45,126.56B,20.12B,3.06B,568.92M,5.19,42.86,22.67,n/a,n/a,"1,463,613",222.00,221.76,221.01 - 223.23,126.68 - 223.23,0.92,Buy,211.68 (-4.84%),"Oct 22, 2024",Information Technology Services,Technology,"Sep 25, 1986",NYSE,"42,000",https://www.fiserv.com
DE,Deere & Company,461.04,126.14B,51.72B,7.10B,273.60M,25.62,18.00,23.38,$5.88 (1.28%),"Sep 30, 2024","1,504,216",456.64,462.69,454.39 - 463.34,340.20 - 469.39,0.93,Buy,433.83 (-5.9%),"Nov 21, 2024",Farm & Heavy Construction Machinery,Industrials,1837,NYSE,"83,000",https://www.deere.com
ADP,"Automatic Data Processing, Inc.",307.97,125.48B,19.52B,3.85B,407.46M,9.36,32.90,30.47,$5.60 (1.82%),"Sep 13, 2024","940,449",305.60,304.67,304.76 - 308.31,227.12 - 309.37,0.79,Hold,289.91 (-5.86%),"Oct 30, 2024",Software - Application,Technology,1949,NASDAQ,"64,000",https://www.adp.com
LMT,Lockheed Martin Corporation,521.45,123.60B,71.30B,6.68B,237.04M,27.67,18.85,19.18,$13.20 (2.53%),"Dec 2, 2024","1,059,258",519.39,521.89,519.39 - 523.95,413.92 - 618.95,0.48,Buy,622.45 (+19.37%),"Oct 22, 2024",Aerospace & Defense,Industrials,1912,NYSE,"122,000",https://www.lockheedmartin.com
VRTX,Vertex Pharmaceuticals Incorporated,467.07,120.28B,10.63B,-479.80M,257.53M,-1.86,n/a,25.86,n/a,n/a,"1,263,919",464.00,461.71,459.07 - 467.96,346.29 - 519.88,0.39,Buy,513.58 (+9.96%),"Nov 4, 2024",Biotechnology,Healthcare,"Jul 24, 1991",NASDAQ,"5,400",https://www.vrtx.com
BMY,Bristol-Myers Squibb Company,58.74,119.14B,47.44B,-7.26B,2.03B,-3.58,n/a,8.31,$2.40 (4.09%),"Oct 4, 2024","6,602,153",58.84,58.78,58.06 - 59.08,39.35 - 61.08,0.44,Hold,53.92 (-8.21%),"Oct 31, 2024",Drug Manufacturers - General,Healthcare,1887,NYSE,"34,100",https://www.bms.com
CB,Chubb Limited,288.48,116.29B,54.70B,10.00B,403.10M,24.43,11.81,12.77,$3.64 (1.26%),"Sep 13, 2024","1,296,761",286.38,286.42,284.68 - 288.76,216.91 - 302.05,0.68,Buy,289.00 (+0.18%),"Oct 29, 2024",Insurance - Property & Casualty,Financials,"Mar 24, 1993",NYSE,"40,000",https://www.chubb.com/us-en
NKE,"NIKE, Inc.",77.61,115.52B,50.01B,5.30B,1.49B,3.49,22.22,27.27,$1.48 (1.91%),"Sep 3, 2024","8,224,809",78.90,79.26,77.57 - 78.90,70.75 - 123.39,1.03,Buy,97.41 (+25.51%),"Dec 19, 2024",Footwear & Accessories,Consumer Discretionary,"Dec 12, 1980",NYSE,"79,400",https://www.nike.com
UPS,"United Parcel Service, Inc.",134.96,115.17B,90.69B,5.67B,853.37M,6.62,20.39,15.85,$6.52 (4.83%),"Nov 18, 2024","2,477,049",137.22,137.54,134.31 - 137.59,123.12 - 163.82,0.98,Buy,151.00 (+11.89%),"Oct 24, 2024",Integrated Freight & Logistics,Industrials,"Nov 10, 1999",NYSE,"500,000",https://www.ups.com
MMC,"Marsh & McLennan Companies, Inc.",232.77,114.32B,23.95B,4.03B,491.12M,8.11,28.74,25.35,$3.26 (1.40%),"Oct 4, 2024","1,322,897",231.56,230.71,229.77 - 233.48,184.28 - 233.48,0.94,Hold,225.69 (-3.04%),"Oct 17, 2024",Insurance Brokers,Financials,1871,NYSE,"85,000",https://www.mmc.com
SBUX,Starbucks Corporation,100.68,114.15B,36.18B,3.76B,1.13B,3.31,30.42,32.30,$2.44 (2.42%),"Nov 15, 2024","6,487,081",101.99,101.84,100.47 - 102.05,71.55 - 103.32,0.96,Buy,103.88 (+3.18%),"Oct 30, 2024",Restaurants,Consumer Discretionary,"Jun 26, 1992",NASDAQ,"381,000",https://www.starbucks.com
GILD,"Gilead Sciences, Inc.",91.35,113.85B,28.30B,126.00M,1.25B,0.10,940.70,12.45,$3.08 (3.37%),"Dec 13, 2024","3,997,770",90.34,90.49,89.63 - 91.68,62.07 - 98.90,0.19,Buy,95.32 (+4.35%),"Nov 6, 2024",Drug Manufacturers - General,Healthcare,"Jan 22, 1992",NASDAQ,"18,000",https://www.gilead.com
MU,"Micron Technology, Inc.",101.80,112.87B,25.11B,778.00M,1.11B,0.70,145.43,11.40,$0.46 (0.45%),"Oct 7, 2024","18,799,637",104.00,104.48,100.31 - 104.72,72.93 - 157.54,1.18,Strong Buy,146.28 (+43.69%),"Dec 18, 2024",Semiconductors,Technology,1978,NASDAQ,"48,000",https://www.micron.com
BA,The Boeing Company,150.76,112.64B,73.29B,-7.98B,747.17M,-12.99,n/a,n/a,n/a,n/a,"7,977,292",152.50,153.10,149.80 - 153.14,137.03 - 267.54,1.57,Buy,195.79 (+29.87%),"Oct 23, 2024",Aerospace & Defense,Industrials,1916,NYSE,"171,000",https://www.boeing.com
MDT,Medtronic plc,85.68,109.89B,33.00B,4.29B,1.28B,3.27,26.23,15.03,$2.80 (3.27%),"Sep 27, 2024","4,085,483",86.34,85.75,85.02 - 86.56,75.96 - 92.68,0.85,Hold,93.93 (+9.63%),"Nov 19, 2024",Medical Devices,Healthcare,1949,NYSE,"95,000",https://www.medtronic.com
PLD,"Prologis, Inc.",116.17,109.43B,8.24B,3.08B,941.98M,3.31,35.09,42.28,$3.84 (3.31%),"Sep 16, 2024","3,147,624",117.60,118.07,115.52 - 118.07,101.11 - 137.52,1.09,Buy,131.39 (+13.1%),"Jan 15, 2025",REIT - Industrial,Real Estate,"Mar 1, 1994",NYSE,"2,574",https://www.prologis.com
ADI,"Analog Devices, Inc.",219.05,108.76B,9.43B,1.64B,496.49M,3.28,66.78,29.63,$3.68 (1.68%),"Sep 3, 2024","6,063,160",232.15,223.58,216.01 - 233.55,179.63 - 244.14,1.08,Buy,250.05 (+14.15%),"Nov 26, 2024",Semiconductors,Technology,"Apr 3, 1972",NASDAQ,"26,000",https://www.analog.com
INTC,Intel Corporation,24.05,103.73B,54.25B,-15.96B,4.31B,-3.76,n/a,34.23,n/a,"Aug 7, 2024","64,861,160",24.95,24.87,23.81 - 24.99,18.51 - 51.28,1.02,Hold,30.31 (+26.03%),"Oct 31, 2024",Semiconductors,Technology,1968,NASDAQ,"124,800",https://www.intel.com
DELL,Dell Technologies Inc.,141.74,99.50B,91.84B,3.97B,702.00M,5.44,26.08,15.98,$1.78 (1.26%),"Oct 22, 2024","7,493,365",144.00,144.16,141.21 - 144.43,67.51 - 179.70,0.95,Buy,148.47 (+4.75%),"Nov 26, 2024",Computer Hardware,Technology,"Jun 22, 1988",NYSE,"120,000",https://www.dell.com
SHW,The Sherwin-Williams Company,396.14,99.43B,23.05B,2.56B,250.99M,10.03,39.48,31.86,$2.86 (0.72%),"Nov 15, 2024","1,380,435",399.76,399.71,395.15 - 400.03,272.34 - 400.31,1.17,Buy,395.29 (-0.21%),"Oct 22, 2024",Specialty Chemicals,Materials,1866,NYSE,"64,088",https://www.sherwin-williams.com
SO,The Southern Company,89.33,97.88B,26.43B,4.72B,1.10B,4.29,20.82,20.77,$2.88 (3.22%),"Nov 18, 2024","2,423,850",88.53,88.42,88.15 - 89.36,65.80 - 94.45,0.51,Buy,87.13 (-2.46%),"Oct 31, 2024",Utilities - Regulated Electric,Utilities,1945,NYSE,"28,100",https://www.southerncompany.com
MO,"Altria Group, Inc.",57.59,97.60B,20.36B,10.26B,1.69B,5.91,9.75,10.80,$4.08 (7.09%),"Sep 16, 2024","5,102,225",56.87,56.75,56.77 - 57.60,39.25 - 57.60,0.67,Hold,51.33 (-10.87%),"Oct 31, 2024",Tobacco,Consumer Staples,1822,NYSE,"6,400",https://www.altria.com
AMT,American Tower Corporation,208.00,97.20B,11.17B,1.11B,467.29M,2.37,87.65,29.29,$6.48 (3.12%),"Oct 9, 2024","1,451,854",206.57,207.55,205.37 - 208.79,170.46 - 243.56,0.84,Buy,235.43 (+13.19%),"Oct 29, 2024",REIT - Specialty,Real Estate,"Jun 5, 1998",NYSE,"5,643",https://www.americantower.com
EQIX,"Equinix, Inc.",978.26,94.39B,8.15B,1.06B,96.49M,11.09,88.18,77.85,$17.04 (1.74%),"Nov 13, 2024","684,405",974.00,974.35,961.78 - 982.69,684.14 - 982.69,0.70,Buy,936.18 (-4.3%),"Oct 30, 2024",REIT - Specialty,Real Estate,"Aug 11, 2000",NASDAQ,"13,151",https://www.equinix.com
TT,Trane Technologies plc,419.14,94.32B,19.39B,2.47B,225.02M,10.77,38.90,34.07,$3.36 (0.80%),"Dec 6, 2024","1,060,947",414.41,413.32,412.73 - 419.83,221.22 - 422.00,1.22,Buy,383.80 (-8.43%),"Oct 30, 2024",Building Products & Equipment,Industrials,1885,NYSE,"40,000",https://www.tranetechnologies.com
LRCX,Lam Research Corporation,72.69,93.53B,15.59B,4.06B,1.29B,3.09,23.53,19.90,$0.92 (1.27%),"Sep 17, 2024","6,896,038",74.11,73.71,72.00 - 74.42,68.72 - 113.00,1.49,Buy,96.67 (+32.99%),"Oct 23, 2024",Semiconductor Equipment & Materials,Technology,1980,NASDAQ,"17,200",https://www.lamresearch.com
GEV,GE Vernova Inc.,338.89,93.42B,34.42B,1.27B,275.65M,4.59,73.83,52.27,n/a,n/a,"1,827,234",332.27,328.98,330.62 - 340.66,119.00 - 357.09,n/a,Buy,292.95 (-13.56%),"Dec 3, 2024",Utilities - Renewable,Utilities,2023,NYSE,"80,000",https://www.gevernova.com
ELV,"Elevance Health, Inc.",401.96,93.22B,174.02B,6.42B,231.92M,27.42,14.66,12.21,$6.52 (1.62%),"Dec 5, 2024","1,498,745",408.76,407.60,398.02 - 408.76,391.02 - 567.26,0.85,Strong Buy,543.07 (+35.11%),"Jan 22, 2025",Healthcare Plans,Healthcare,1944,NYSE,"104,900",https://www.elevancehealth.com
CI,The Cigna Group,335.00,93.18B,229.75B,3.04B,278.15M,10.57,31.69,10.92,$5.60 (1.67%),"Dec 4, 2024","1,239,951",333.70,333.01,329.67 - 335.23,253.95 - 370.83,0.51,Strong Buy,393.76 (+17.54%),"Oct 31, 2024",Healthcare Plans,Healthcare,1792,NYSE,"72,500",https://www.cigna.com
ICE,"Intercontinental Exchange, Inc.",160.49,92.15B,9.16B,2.43B,574.18M,4.22,38.03,24.60,$1.80 (1.12%),"Dec 16, 2024","2,525,164",159.71,159.63,158.88 - 161.46,111.82 - 167.99,1.09,Strong Buy,174.13 (+8.5%),"Oct 31, 2024",Financial Data & Stock Exchanges,Financials,"Nov 16, 2005",NYSE,"13,222",https://www.ice.com
CTAS,Cintas Corporation,226.47,91.34B,9.76B,1.63B,403.30M,3.96,57.38,52.49,$1.56 (0.69%),"Nov 15, 2024","1,269,056",225.29,223.90,225.12 - 228.12,136.87 - 228.12,1.31,Hold,197.78 (-12.67%),"Dec 19, 2024",Specialty Business Services,Industrials,1968,NASDAQ,"46,500",https://www.cintas.com
WM,"Waste Management, Inc.",227.45,91.29B,21.39B,2.64B,401.37M,6.55,34.74,29.09,$3.00 (1.32%),"Sep 13, 2024","776,802",226.97,225.65,225.88 - 228.53,168.73 - 228.53,0.75,Buy,226.37 (-0.47%),"Oct 28, 2024",Waste Management,Industrials,"Jun 2, 1988",NYSE,"48,000",https://www.wm.com
PH,Parker-Hannifin Corporation,706.85,90.99B,19.99B,2.89B,128.72M,22.19,31.85,25.55,$6.52 (0.92%),"Nov 8, 2024","336,718",704.14,704.42,700.41 - 709.10,426.49 - 712.42,1.43,Buy,680.06 (-3.79%),"Oct 31, 2024",Specialty Industrial Machinery,Industrials,1917,NYSE,"62,730",https://www.phstock.com
MCO,Moody's Corporation,499.66,90.55B,6.90B,2.00B,181.23M,10.94,45.70,39.30,$3.40 (0.68%),"Nov 22, 2024","681,590",495.40,494.03,492.50 - 501.21,358.49 - 501.21,1.29,Buy,494.29 (-1.07%),"Oct 22, 2024",Financial Data & Stock Exchanges,Financials,"Oct 3, 2000",NYSE,"15,151",https://www.moodys.com
DUK,Duke Energy Corporation,117.04,90.41B,29.75B,4.20B,772.48M,5.44,21.52,18.63,$4.18 (3.57%),"Nov 15, 2024","2,275,635",115.39,115.00,115.08 - 117.10,90.09 - 121.25,0.46,Buy,121.73 (+4.01%),"Nov 7, 2024",Utilities - Regulated Electric,Utilities,1904,NYSE,"27,037",https://www.duke-energy.com
CRWD,"CrowdStrike Holdings, Inc.",364.30,89.30B,3.52B,170.20M,245.13M,0.69,529.77,99.42,n/a,n/a,"5,272,629",363.00,363.68,359.25 - 367.35,200.81 - 398.33,1.10,Buy,335.44 (-7.92%),"Nov 26, 2024",Software - Infrastructure,Technology,"Jun 12, 2019",NASDAQ,"7,925",https://www.crowdstrike.com
APH,Amphenol Corporation,73.26,88.32B,14.23B,2.19B,1.21B,1.75,41.98,35.65,$0.66 (0.90%),"Dec 17, 2024","4,351,339",73.60,73.29,72.91 - 73.80,44.91 - 74.93,1.24,Buy,71.46 (-2.46%),"Jan 22, 2025",Electronic Components,Technology,"Nov 8, 1991",NYSE,"95,000",https://www.amphenol.com
ABNB,"Airbnb, Inc.",139.67,87.26B,10.84B,1.84B,624.77M,2.84,49.26,32.57,n/a,n/a,"3,137,156",140.78,140.93,139.18 - 141.75,110.38 - 170.10,1.16,Hold,137.30 (-1.7%),"Nov 7, 2024",Travel Services,Consumer Discretionary,"Dec 10, 2020",NASDAQ,"6,907",https://www.airbnb.com
PYPL,"PayPal Holdings, Inc.",86.94,87.16B,31.46B,4.43B,1.00B,4.20,20.71,18.51,n/a,n/a,"5,276,346",87.40,87.77,86.90 - 88.18,55.77 - 88.74,1.44,Buy,84.04 (-3.34%),"Oct 29, 2024",Credit Services,Financials,"Feb 15, 2002",NASDAQ,"27,200",https://www.paypal.com
MDLZ,"Mondelez International, Inc.",64.88,86.76B,36.15B,3.82B,1.34B,2.82,23.02,19.89,$1.88 (2.90%),"Sep 30, 2024","7,753,513",64.97,64.94,64.46 - 65.28,63.40 - 77.20,0.56,Strong Buy,80.76 (+24.48%),"Oct 29, 2024",Confectioners,Consumer Staples,2000,NASDAQ,"91,000",https://www.mondelezinternational.com
WELL,Welltower Inc.,138.96,86.53B,7.56B,915.62M,622.69M,1.56,89.17,80.40,$2.68 (1.93%),"Nov 13, 2024","2,176,846",136.57,135.75,136.13 - 139.09,85.40 - 140.19,1.19,Buy,120.39 (-13.36%),"Oct 28, 2024",REIT - Healthcare Facilities,Real Estate,1970,NYSE,533,https://www.welltower.com
CMG,"Chipotle Mexican Grill, Inc.",62.71,85.51B,10.98B,1.48B,1.36B,1.08,58.25,50.23,n/a,n/a,"5,206,609",62.07,62.00,61.87 - 62.74,43.66 - 69.26,1.27,Buy,64.62 (+3.05%),"Oct 29, 2024",Restaurants,Consumer Discretionary,"Jan 26, 2006",NYSE,"116,068",https://www.chipotle.com
SNPS,"Synopsys, Inc.",553.95,85.09B,6.48B,1.50B,153.61M,9.62,57.60,39.23,n/a,n/a,"724,779",562.65,561.87,549.71 - 562.81,457.52 - 629.38,1.08,Strong Buy,648.45 (+17.06%),"Dec 4, 2024",Software - Infrastructure,Technology,"Feb 26, 1992",NASDAQ,"20,300",https://www.synopsys.com
CDNS,"Cadence Design Systems, Inc.",310.10,85.05B,4.35B,1.04B,274.26M,3.80,81.62,45.83,n/a,n/a,"1,043,245",314.55,312.39,309.42 - 316.37,241.29 - 328.99,1.02,Buy,326.00 (+5.13%),"Oct 28, 2024",Software - Application,Technology,"Jun 10, 1987",NASDAQ,"11,200",https://www.cadence.com
PNC,"The PNC Financial Services Group, Inc.",214.20,84.99B,20.48B,4.73B,396.78M,11.82,18.13,14.92,$6.40 (2.99%),"Oct 16, 2024","1,794,870",211.84,212.47,210.45 - 214.81,127.83 - 214.81,1.12,Buy,189.15 (-11.69%),"Jan 16, 2025",Banks - Regional,Financials,1852,NYSE,"56,411",https://www.pnc.com
CME,CME Group Inc.,234.39,84.47B,6.03B,3.42B,360.36M,9.51,24.66,22.94,$4.60 (1.96%),"Sep 9, 2024","2,497,606",229.77,229.37,229.08 - 235.10,190.70 - 235.10,0.56,Hold,225.13 (-3.95%),"Oct 23, 2024",Financial Data & Stock Exchanges,Financials,"Dec 6, 2002",NASDAQ,"3,565",https://www.cmegroup.com
KLAC,KLA Corporation,631.47,84.47B,10.26B,2.97B,133.76M,21.87,28.88,20.37,$6.05 (0.96%),"Nov 18, 2024","911,133",651.18,644.67,623.86 - 651.18,527.11 - 896.32,1.29,Buy,802.90 (+27.15%),"Oct 30, 2024",Semiconductor Equipment & Materials,Technology,1975,NASDAQ,"15,230",https://www.kla.com
AON,Aon plc,390.25,84.40B,14.93B,2.44B,216.27M,11.69,33.40,23.24,$2.70 (0.69%),"Nov 1, 2024","881,984",390.00,389.72,383.37 - 392.26,268.06 - 392.26,0.91,Hold,351.88 (-9.83%),"Oct 25, 2024",Insurance Brokers,Financials,1919,NYSE,"50,000",https://www.aon.com
USB,U.S. Bancorp,53.66,83.71B,24.90B,5.09B,1.56B,3.25,16.49,12.81,$2.00 (3.73%),"Sep 30, 2024","5,312,954",53.76,53.63,53.28 - 53.80,36.49 - 53.93,1.04,Buy,52.08 (-2.94%),"Jan 16, 2025",Banks - Regional,Financials,1863,NYSE,"75,465",https://www.usbank.com
CEG,Constellation Energy Corporation,266.73,83.42B,23.98B,2.86B,312.77M,9.02,29.59,30.43,$1.41 (0.53%),"Nov 15, 2024","3,782,550",249.55,248.93,249.20 - 267.13,109.44 - 288.75,0.78,Buy,286.50 (+7.41%),"Nov 4, 2024",Utilities - Renewable,Utilities,1999,NASDAQ,"13,871",https://www.constellationenergy.com
HCA,"HCA Healthcare, Inc.",328.95,83.32B,69.62B,5.93B,253.30M,22.31,14.73,13.77,$2.64 (0.80%),"Dec 13, 2024","1,019,948",327.04,325.62,323.80 - 330.31,245.84 - 417.14,1.69,Buy,386.92 (+17.62%),"Oct 25, 2024",Medical Care Facilities,Healthcare,1968,NYSE,"310,000",https://www.hcahealthcare.com
MSI,"Motorola Solutions, Inc.",496.58,82.99B,10.66B,1.56B,167.12M,9.14,54.33,34.93,$3.92 (0.79%),"Sep 13, 2024","541,748",496.47,488.37,491.03 - 498.00,307.09 - 507.82,0.98,Strong Buy,493.00 (-0.72%),"Nov 7, 2024",Communication Equipment,Technology,1928,NYSE,"21,000",https://www.motorolasolutions.com
ITW,Illinois Tool Works Inc.,276.51,81.65B,15.95B,3.46B,295.30M,11.55,23.96,26.42,$6.00 (2.17%),"Dec 31, 2024","769,407",275.63,276.37,273.13 - 276.78,232.77 - 277.94,1.11,Hold,259.09 (-6.3%),"Oct 30, 2024",Specialty Industrial Machinery,Industrials,1912,NYSE,"45,000",https://www.itw.com
REGN,"Regeneron Pharmaceuticals, Inc.",753.03,81.02B,13.85B,4.65B,107.59M,40.43,18.63,15.89,n/a,n/a,"691,477",743.19,749.51,736.50 - 754.18,"735.95 - 1,211.20",0.14,Buy,"1,110.63 (+47.49%)","Oct 31, 2024",Biotechnology,Healthcare,"Apr 2, 1991",NASDAQ,"13,450",https://www.regeneron.com
MAR,"Marriott International, Inc.",288.18,80.08B,6.57B,2.77B,277.89M,9.57,30.10,28.17,$2.41 (0.84%),"Nov 21, 2024","1,387,630",288.80,288.00,286.53 - 289.80,200.94 - 289.80,1.58,Buy,259.71 (-9.88%),"Nov 4, 2024",Lodging,Consumer Discretionary,"Jul 16, 1993",NASDAQ,"411,000",https://www.marriott.com
MCK,McKesson Corporation,625.00,79.34B,330.19B,2.54B,126.94M,19.33,32.34,18.17,$2.84 (0.45%),"Dec 2, 2024","523,812",619.82,616.73,614.28 - 625.53,431.35 - 637.51,0.44,Strong Buy,623.62 (-0.22%),"Nov 6, 2024",Medical Distribution,Healthcare,1833,NYSE,"51,000",https://www.mckesson.com
ZTS,Zoetis Inc.,175.70,79.27B,9.15B,2.43B,451.17M,5.32,33.04,28.54,$1.73 (0.98%),"Oct 31, 2024","1,387,784",178.45,178.71,174.84 - 178.65,144.80 - 201.92,0.90,Strong Buy,219.50 (+24.93%),"Nov 4, 2024",Drug Manufacturers - Specialty & Generic,Healthcare,"Feb 1, 2013",NYSE,"14,100",https://www.zoetis.com
CL,Colgate-Palmolive Company,96.58,78.91B,20.11B,2.87B,817.01M,3.48,27.75,25.65,$2.00 (2.07%),"Oct 18, 2024","4,189,829",95.57,95.34,95.20 - 96.70,75.50 - 109.30,0.41,Buy,105.11 (+8.83%),"Oct 25, 2024",Household & Personal Products,Consumer Staples,1806,NYSE,"34,000",https://www.colgatepalmolive.com
GD,General Dynamics Corporation,282.02,77.42B,46.05B,3.64B,274.53M,13.12,21.50,17.71,$5.68 (2.01%),"Oct 11, 2024","878,512",281.08,281.35,279.61 - 283.37,243.87 - 316.90,0.61,Buy,325.19 (+15.31%),"Oct 23, 2024",Aerospace & Defense,Industrials,2019,NYSE,"111,600",https://www.gd.com
EMR,Emerson Electric Co.,133.00,76.17B,17.49B,1.97B,572.70M,3.43,38.85,22.38,$2.10 (1.58%),"Nov 15, 2024","2,274,031",132.95,132.75,132.32 - 134.17,87.55 - 134.17,1.29,Buy,130.44 (-1.92%),"Nov 5, 2024",Specialty Industrial Machinery,Industrials,1890,NYSE,"73,000",https://www.emerson.com
EOG,"EOG Resources, Inc.",132.54,74.55B,23.86B,7.14B,562.45M,12.40,10.69,12.57,$3.64 (2.75%),"Oct 17, 2024","2,647,954",132.29,131.98,131.11 - 133.08,108.94 - 139.67,1.29,Buy,145.05 (+9.44%),"Nov 7, 2024",Oil & Gas Exploration & Production,Energy,1985,NYSE,"3,050",https://www.eogresources.com
APD,"Air Products and Chemicals, Inc.",334.78,74.45B,12.10B,3.83B,222.38M,17.18,19.37,25.84,$7.08 (2.11%),"Oct 1, 2024","1,200,800",333.89,333.97,330.38 - 335.68,212.24 - 336.42,0.83,Buy,329.07 (-1.71%),"Nov 7, 2024",Specialty Chemicals,Materials,"Jan 1, 1987",NYSE,"23,000",https://www.airproducts.com
CVS,CVS Health Corporation,59.01,74.26B,367.25B,5.02B,1.26B,3.95,14.92,10.05,$2.66 (4.51%),"Oct 21, 2024","7,554,521",59.62,60.08,58.32 - 59.84,52.71 - 83.25,0.54,Buy,70.94 (+20.22%),"Nov 6, 2024",Healthcare Plans,Healthcare,1963,NYSE,"300,000",https://www.cvshealth.com
FDX,FedEx Corporation,302.98,74.03B,87.59B,4.04B,244.32M,16.20,18.70,14.43,$5.52 (1.82%),"Sep 9, 2024","1,604,621",303.06,305.15,299.61 - 304.00,234.45 - 313.84,1.18,Buy,313.70 (+3.54%),"Dec 19, 2024",Integrated Freight & Logistics,Industrials,1971,NYSE,"529,000",https://www.fedex.com
FTNT,"Fortinet, Inc.",96.44,73.92B,5.71B,1.53B,766.45M,1.99,48.44,40.99,n/a,n/a,"4,642,407",93.97,93.12,93.97 - 96.70,50.65 - 100.59,1.00,Buy,89.70 (-6.99%),"Nov 7, 2024",Software - Infrastructure,Technology,"Nov 18, 2009",NASDAQ,"13,568",https://www.fortinet.com
COF,Capital One Financial Corporation,191.45,73.04B,26.50B,4.06B,381.51M,10.59,18.08,12.73,$2.40 (1.25%),"Nov 14, 2024","2,241,680",191.15,191.89,189.30 - 192.22,106.14 - 198.30,1.43,Buy,160.44 (-16.2%),"Oct 24, 2024",Credit Services,Financials,"Nov 15, 1994",NYSE,"51,987",https://www.capitalone.com
MMM,3M Company,132.94,72.39B,32.64B,4.39B,544.56M,7.92,16.79,17.49,$2.80 (2.11%),"Nov 15, 2024","2,495,169",129.99,130.32,129.65 - 133.23,75.65 - 141.34,1.00,Buy,144.87 (+8.97%),"Oct 22, 2024",Conglomerates,Industrials,1902,NYSE,"85,000",https://www.3m.com
ORLY,"O'Reilly Automotive, Inc.","1,244.22",71.83B,16.44B,2.39B,57.73M,40.39,30.75,28.19,n/a,n/a,"372,257","1,233.97","1,238.76","1,223.04 - 1,245.54","914.50 - 1,255.30",0.92,Strong Buy,"1,249.31 (+0.41%)","Oct 23, 2024",Specialty Retail,Consumer Discretionary,"Apr 22, 1993",NASDAQ,"90,302",https://www.oreillyauto.com
NOC,Northrop Grumman Corporation,488.43,71.16B,40.99B,2.38B,145.70M,15.99,30.54,18.30,$8.24 (1.69%),"Sep 3, 2024","670,550",486.56,485.27,482.57 - 491.74,418.60 - 555.57,0.35,Buy,556.75 (+13.99%),"Oct 24, 2024",Aerospace & Defense,Industrials,1939,NYSE,"101,000",https://www.northropgrumman.com
WMB,"The Williams Companies, Inc.",58.37,71.15B,10.37B,2.87B,1.22B,2.35,24.81,29.30,$1.90 (3.26%),"Sep 13, 2024","6,088,124",58.33,58.19,58.01 - 58.67,32.65 - 60.36,1.06,Buy,51.79 (-11.27%),"Nov 6, 2024",Oil & Gas Midstream,Energy,1908,NYSE,"5,601",https://www.williams.com
TDG,TransDigm Group Incorporated,"1,262.61",71.00B,7.94B,1.48B,56.23M,25.62,49.28,33.61,$75.00 (5.94%),"Oct 4, 2024","241,977","1,260.95","1,260.98","1,247.62 - 1,273.89","949.99 - 1,451.32",1.42,Buy,"1,454.67 (+15.21%)","Nov 7, 2024",Aerospace & Defense,Industrials,"Mar 15, 2006",NYSE,"16,600",https://www.transdigm.com
